,device,meta,
2,0.7896,0.7879,0.7882
4,0.7802,0.7837,0.6649
6,0.7505,0.7685,0.6684
8,0.7209,0.743,0.6508
10,0.7101,0.7384,0.6503
12,0.6684,0.7397,0.6519
16,0.6031,0.7371,0.6578
heuristic_16,0.6501
heuristic_12,0.6479
heuristic_10,0.6565
heuristic_8,0.6539
heuristic_6,0.6745
heuristic_16,0.583
